Latitude,Longitude,Depth,Data Quality,temperature_avg,rainfall_mm,humidity_pct,pressure_hPa,drought_index,extreme_precip_days,urban_pct,forest_pct,agriculture_pct,water_pct,wetland_pct,grassland_pct,barren_pct,frag_index,soil_perm,ind_count,hg_impact,pb_impact,ind_risk_score,param_category,country_code,time_season,sampling_method,is_referenced_method,analytical_program,pollution_risk,testing_laboratory,validated_results,regulatory_framework,land_use_impact,value_mg_per_l,Station Code_encoded,Parameter Code_encoded,Dataset_Source_encoded,water_body_type_grouped,sampling_weather_grouped,Data_Quality_Num
50.9028,-27.693375655113357,0.3,Fair,4.253130315031243,107.99129473000228,95.0,1005.214660335138,1.7946967669398748,1.0,5.951478056041188,31.263523712328887,24.569630134447884,9.797753117253022,7.869977235927507,12.180641560194143,4.582338201560415,0.6892086305050552,0.5800855208802735,1.0,0.175103330241986,0.2609521354834254,11.968312941077007,Other,MEX,2016-07-06 12:00:00 - Summer,unknown,False,Provincial Monitoring,Medium,National Water Research Center,False,unknown,Agricultural Dominant,0.0,0.0,0.0,0.299035832493884,Wetland,Snowy,0
45.018847334,-27.693375655113357,0.3,Fair,5.1155253358902595,76.76524153125955,85.98144391030878,1010.7114723399588,1.895847257221016,1.0,7.383619535832402,27.77692124164256,27.30787666055856,6.134553161903108,10.232954371449376,14.96631335643136,5.04490494196622,0.743270914952437,0.5968326585209647,0.0,0.0,0.0,0.0,unknown,CHE,2018-02-13 12:00:00 - Winter,Composite Sample,True,unknown,Low,International Water Quality Lab,True,International Water Quality Standards,Agricultural Dominant,0.046,0.29269195189639224,0.36945221911235504,0.3315508021390374,unknown,unknown,0
46.27117,11.42484,0.0,Fair,-5.7022007400239545,89.68158003331669,85.39848739426402,1008.4357081716523,1.5267756387899842,0.0,9.247550830124286,28.228460105346432,26.98504611090498,4.872351608427264,10.266351108987854,14.167928664938245,6.232311571270936,0.7424769351500345,0.5842290354484818,0.0,0.2304205474057777,0.1457798358457092,2.603596346441887,Heavy Metal,ITA,2011-07-05 00:00:00 - Summer,Grab Sample,True,unknown,unknown,International Water Quality Lab,True,International Water Quality Standards,unknown,0.0001,0.0,0.36945221911235504,0.09,unknown,unknown,0
49.4586,-120.504,0.3,Fair,6.2506976175962805,101.64413251619474,82.47699498525344,1008.4357081716523,-1.132845059843345,2.0,5.333536080363196,26.07000157290168,26.36219569339697,6.134553161903108,5.62095125599594,16.146107548963556,7.907507346738122,0.6722764829387422,0.5731198955553342,2.0,0.2910639440432023,0.0,2.2564599520858137,unknown,MEX,2011-05-10 10:05:00 - Spring,Composite Sample,False,unknown,unknown,Canadian Analytical Services,True,Fisheries Act,Agricultural Dominant,0.046,0.0,0.15384615384615385,0.25806451612903225,Reservoir,Rainy,0
49.5279,-115.5492,0.3,Good,-9.855315987794537,67.28750088375094,80.18865812659581,1008.4357081716523,1.6382080877550456,0.0,6.655139924790663,33.60048350317547,24.67714185011796,10.276568146600717,7.910547928252151,12.180641560194143,6.495076414009522,0.743270914952437,0.5738311416540992,1.0,0.7368803158741652,1.816768302351164,3.178036655399543,Other,MEX,2005-08-02 10:00:00 - Summer,Manual Sample,False,unknown,Medium,National Water Research Center,True,Canadian Environmental Protection Act,unknown,0.0017,1.6666666666666667,0.1509433962264151,0.1702127659574468,River,unknown,2
49.0897,-27.693375655113357,0.3,Fair,0.913689681417104,113.65015594194458,92.08303352634684,1008.081668223293,-0.2768314393417102,1.0,7.345721284853729,27.48433942114921,26.138245210098063,6.134553161903108,7.486418279110857,12.83759731715894,5.635924647532254,0.7028849366923812,0.5842290354484818,1.0,0.0,0.0670402788472872,1.489200442370536,unknown,CAN,2007-06-06 12:00:00 - Summer,Manual Sample,False,Arctic Waters Program,unknown,National Water Research Center,True,Provincial Water Regulations,Urban Dominant,0.14,0.29269195189639224,0.8609625668449198,0.299035832493884,unknown,Rainy,0
19.652031,-105.182333,0.3,Unknown,5.6645941525835415,64.74688090022393,68.119986587233,1013.193961523049,0.006299256624511823,0.0,11.413766649307831,36.21826441229789,24.90509256788321,8.910106692376132,7.90553725543568,10.798825804987189,5.839534749446326,0.7365786481731307,0.566507873710819,0.0,0.0,0.0,0.0,Other,MEX,2018-02-13 12:00:00 - Winter,Grab Sample,False,unknown,Low,International Water Quality Lab,True,International Water Quality Standards,Agricultural Dominant,0.046,1.0,0.2755741127348643,0.299035832493884,unknown,Cloudy,1
50.8011,-27.693375655113357,0.3,Fair,7.946450643996621,110.41046805389688,95.0,1005.414890450941,0.006299256624511823,2.0,3.418164622436292,30.6313056741272,28.140920435301062,4.664629338512954,13.22697562752072,13.961339608857337,5.04490494196622,0.6621937480468276,0.6083344190110235,0.0,0.0,0.0,0.0,Other,BEL,2018-04-23 12:00:00 - Spring,Manual Sample,False,International Water Assessment,Low,International Water Quality Lab,False,International Water Quality Standards,Forest Dominant,0.0115,0.29269195189639224,0.36945221911235504,0.3291139240506329,Estuary,Rainy,0
61.0989,-27.693375655113357,0.3,Fair,-4.2852961953441415,110.82456666596757,92.18288643800734,1003.8934297718232,-1.1676758698407577,0.0,2.839884195830786,32.53957464407809,26.72863845937428,9.167201570492605,8.363029604500158,18.22696862857205,5.04490494196622,0.6472682841816363,0.6173780952728983,0.0,0.0,0.0,0.0,unknown,CAN,2010-06-17 16:46:00 - Summer,Composite Sample,True,unknown,unknown,Environment Canada Lab,True,Canadian Environmental Protection Act,Forest Dominant,0.046,0.29269195189639224,0.08797653958944282,0.299035832493884,Wetland,Cloudy,0
16.73916667,-27.693375655113357,0.3,Unknown,10.865294834741054,51.86024592080103,66.48298261213006,1010.3803840749111,0.4299908410141291,4.0,8.107365741205667,38.16118501998574,24.952110649852223,2.758203714729136,9.114620961483295,12.51676257850663,4.389751334237307,0.7244222826961597,0.617578472742337,2.0,0.1025803840418486,0.2047279253977549,3.668708599133688,Common Ion,MEX,1982-08-16 00:00:00 - Summer,Grab Sample,True,International Water Assessment,unknown,International Water Quality Lab,True,International Water Quality Standards,Urban Dominant,0.046,1.0,0.5380577427821522,0.299035832493884,Lake,Cloudy,1
39.18079,21.01549,0.3,Fair,18.164821296594106,115.4076662908234,76.85923759766797,1006.7833395913814,-0.097924516455031,2.0,10.401457341421075,29.895440703694888,25.539107989154044,6.134553161903108,7.198646225403221,11.340155247534172,5.04490494196622,0.7815119638681642,0.5550861622732377,1.0,0.307742245620761,0.0,8.679351051297463,Other,GRC,2015-03-19 12:00:00 - Spring,Grab Sample,False,unknown,Very Low,Athens Water Authority Lab,True,unknown,Mixed Land Use,1.03300003051758,0.29269195189639224,0.2755741127348643,0.299035832493884,unknown,unknown,0
28.574021800000004,-65.2133,0.3,Fair,9.731655991616071,78.72594571300233,76.3537126997877,1000.3680548843964,0.006299256624511823,1.0,10.193748415213431,34.95657400255719,27.044387950108646,6.134553161903108,5.758877792522269,12.910921126017392,4.243570856381617,0.743814719135781,0.5842290354484818,0.0,0.918458526125874,0.0,19.924255592937133,Metal,CAN,2009-04-20 12:00:00 - Spring,Manual Sample,False,unknown,unknown,International Water Quality Lab,False,Fisheries Act,unknown,0.1,0.0,0.0,0.24705882352941178,Estuary,unknown,0
26.14,-27.693375655113357,0.3,Unknown,14.024206743454862,80.379385983629,75.17657390309701,1008.4357081716523,-1.0186188041946092,1.0,9.48105076347461,38.276526521084726,26.72441374804972,4.708797297157704,9.971672421678614,8.954301509281036,1.883237739273587,0.7664216414959998,0.5842290354484818,0.0,0.0,0.0,0.0,unknown,MEX,2000-01-09 00:00:00 - Winter,Composite Sample,False,International Water Assessment,unknown,International Water Quality Lab,True,International Water Quality Standards,Mixed Land Use,0.046,1.0,0.5162241887905604,0.35093167701863354,Lake,Clear,1
19.33166667,-27.693375655113357,0.3,Unknown,18.097541814483662,84.12168178687224,81.52236522248185,1008.4357081716523,0.006299256624511823,1.0,7.646650596543032,41.041346054891534,24.407423137335872,3.3736338364489216,7.967309167260902,12.166678013640084,3.3969591938796424,0.743270914952437,0.6220632642018705,0.0,2.700344424926252,0.3975628484254756,9.664098407087607,Common Ion,IND,2018-02-13 12:00:00 - Winter,Composite Sample,False,International Water Assessment,Very Low,International Water Quality Lab,True,International Water Quality Standards,Forest Dominant,0.046,1.0,0.5501432664756447,0.5502183406113537,unknown,unknown,1
20.975,-27.693375655113357,0.3,Unknown,25.662585994086413,93.5740951297172,73.63799599591492,1006.3069585266142,0.0947095278605387,1.0,9.703321827330846,39.01648140726884,24.90509256788321,4.135064611612826,8.363029604500158,9.085658617707567,2.341191781170449,0.743270914952437,0.5842290354484818,1.0,0.0878567032187037,0.0,1.1569009827595371,unknown,IND,2021-03-01 00:00:00 - Spring,Manual Sample,True,International Water Assessment,Low,International Water Quality Lab,True,International Water Quality Standards,unknown,0.0,1.0,0.9202127659574468,0.299035832493884,Wetland,unknown,1
16.17656,-27.693375655113357,0.3,Fair,16.220367643192237,57.63104228396312,55.216246590631016,1005.9483413270102,-0.0683208236904895,3.0,13.814948355430165,34.877280925061605,19.693358521105942,6.652615530158909,8.363029604500158,11.89655922804798,5.598445273897844,0.7776987915674931,0.5842290354484818,0.0,0.0,0.0,0.0,Other,MEX,2017-05-31 12:00:00 - Spring,Field Measurement,True,International Water Assessment,Low,International Water Quality Lab,True,International Water Quality Standards,Forest Dominant,0.046,0.29269195189639224,0.40264026402640263,0.3181818181818182,unknown,Cloudy,0
